dtype,precision,registers,sketch_kb,exact,estimate,relative_error,limit,within_threshold,source_xml_sha256
I32,13,8192,8,0,0,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,1,1,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,2,2,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,3,3,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,7,7,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,31,31,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,128,128,0.0,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,1024,1009,0.0146484375,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,4096,4120,0.005859375,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,8195,8334,0.01696156192800488,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,32768,32972,0.0062255859375,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,65537,66946,0.02149930573569129,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,131072,132139,0.00814056396484375,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,1048576,1044152,0.00421905517578125,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,13,8192,8,100000000,99661120,0.0033888,0.03447145558284419,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,0,0,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,1,1,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,2,2,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,3,3,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,7,7,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,31,31,0.0,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,128,127,0.0078125,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,1024,1018,0.005859375,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,4096,4082,0.00341796875,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,8195,8209,0.0017083587553386212,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,32768,32852,0.0025634765625,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,65537,65758,0.00337214092802539,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,131072,130631,0.00336456298828125,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,1048576,1045362,0.0030651092529296875,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,14,16384,16,100000000,100085294,0.00085294,0.024375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,0,0,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,1,1,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,2,2,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,3,3,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,7,7,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,31,31,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,128,128,0.0,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,1024,1020,0.00390625,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,4096,4101,0.001220703125,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,8195,8199,0.0004881025015253203,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,32768,33007,0.007293701171875,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,65537,65608,0.0010833574927140393,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,131072,131843,0.00588226318359375,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,1048576,1038376,0.00972747802734375,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,15,32768,32,100000000,100020259,0.00020259,0.017235727791422094,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,0,0,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,1,1,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,2,2,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,3,3,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,7,7,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,31,31,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,128,128,0.0,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,1024,1025,0.0009765625,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,4096,4110,0.00341796875,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,8195,8197,0.00024405125076266016,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,32768,32797,0.000885009765625,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,65537,65659,0.0018615438607198988,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,131072,131341,0.00205230712890625,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,1048576,1046144,0.0023193359375,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,16,65536,64,100000000,99891085,0.00108915,0.0121875,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,0,0,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,1,1,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,2,2,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,3,3,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,7,7,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,31,31,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,128,128,0.0,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,1024,1027,0.0029296875,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,4096,4111,0.003662109375,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,8195,8213,0.0021964612568639414,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,32768,32855,0.002655029296875,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,65537,65681,0.002197232097898897,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,131072,131409,0.00257110595703125,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,1048576,1048803,0.00021648406982421875,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,17,131072,128,100000000,100236766,0.00236766,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,0,0,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,1,1,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,2,2,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,3,3,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I32,18,262144,256,7,7,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
