operation,dtype,sketch_kb,num_inputs,baseline_ms,maximum_ms,measured_host_ms,speed_ratio,within_numeric_threshold,acceptance_status,iterations,stop_reason,reported_mean_host_us,reported_device_column_us,reported_population_stddev_us,approximate_population_rsd,single_iteration,timing_scope,raw_samples_available,binary_sha256,log_sha256
create,I32,8,0,0.509452,1.27363,0.01798,28.334371523915465,True,UNKNOWN_PROTOCOL,50,Max iterations reached,17.98,17.98,72.862,4.0523915461624025,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I32,16,0,0.437249,1.0931225,0.0079,55.3479746835443,True,UNKNOWN_PROTOCOL,50,Max iterations reached,7.9,7.9,0.728,0.09215189873417722,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I32,32,0,0.497847,1.2446175,0.0079,63.018607594936704,True,UNKNOWN_PROTOCOL,50,Max iterations reached,7.9,7.9,0.361,0.045696202531645566,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I32,64,0,0.431705,1.0792625,0.007940000000000001,54.37090680100755,True,UNKNOWN_PROTOCOL,50,Max iterations reached,7.94,7.94,0.58,0.07304785894206549,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I32,128,0,0.468345,1.1708625,0.0079,59.28417721518987,True,UNKNOWN_PROTOCOL,50,Max iterations reached,7.9,7.9,0.361,0.045696202531645566,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I32,256,0,0.4477,1.1192499999999999,0.00822,54.4647201946472,True,UNKNOWN_PROTOCOL,50,Max iterations reached,8.22,8.22,0.54,0.06569343065693431,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I64,8,0,0.510325,1.2758125,0.008,63.790625000000006,True,UNKNOWN_PROTOCOL,50,Max iterations reached,8.0,8.0,0.566,0.07075,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I64,16,0,0.445346,1.113365,0.007940000000000001,56.0889168765743,True,UNKNOWN_PROTOCOL,50,Max iterations reached,7.94,7.94,0.237,0.02984886649874055,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I64,32,0,0.514238,1.2855949999999998,0.008039999999999999,63.95995024875623,True,UNKNOWN_PROTOCOL,50,Max iterations reached,8.04,8.04,0.488,0.06069651741293533,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I64,64,0,0.442902,1.1072549999999999,0.00802,55.22468827930175,True,UNKNOWN_PROTOCOL,50,Max iterations reached,8.02,8.02,0.14,0.01745635910224439,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
