pe,run,cpp_us,python_us,overhead_pct
2,1,116.183,115.95,-0.2005456908497836
2,2,116.151,115.282,-0.7481640278602851
2,3,116.02,116.147,0.1094638855369846
2,4,116.11,115.121,-0.8517784859185293
2,5,115.977,115.733,-0.21038654215922103
2,6,116.063,116.12,0.04911125854062204
2,7,116.112,116.285,0.14899407468651116
2,8,116.041,115.781,-0.2240587378598865
2,9,116.14,116.046,-0.08093680041328921
2,10,116.09,115.116,-0.8390042208631268
2,11,116.115,116.186,0.061146277397418215
2,12,116.041,116.074,0.028438224420679975
2,13,116.171,115.936,-0.2022880064732157
2,14,115.941,114.567,-1.1850855176339772
2,15,116.025,116.068,0.03706097823744206
2,16,116.06,116.242,0.15681544028950728
2,17,116.05,115.882,-0.1447651874192091
2,18,115.963,116.542,0.49929718962083397
2,19,116.636,115.592,-0.8950924242943834
2,20,115.99,116.001,0.009483576170368041
2,21,116.158,116.177,0.016357030940620066
2,22,116.043,115.998,-0.03877872857475393
2,23,116.089,116.64,0.47463583974364665
2,24,116.061,114.575,-1.2803611893745566
2,25,117.111,115.544,-1.3380468102910974
2,26,116.101,116.143,0.036175399006039215
2,27,116.159,115.717,-0.38051291763876005
2,28,116.007,115.367,-0.5516908462420376
2,29,116.088,116.636,0.47205568189649394
2,30,116.094,116.359,0.22826330387444707
4,1,102.225,102.332,0.104671068720958
4,2,101.994,102.074,0.07843598643057267
4,3,102.18,102.387,0.20258367586611237
4,4,102.036,102.147,0.10878513465835998
4,5,102.23,102.274,0.043040203462777
4,6,102.075,102.201,0.12343864805289304
4,7,102.281,102.21,-0.06941660719000808
4,8,102.032,102.044,0.011761016151795962
4,9,102.233,102.275,0.04108262498410649
4,10,101.984,102.116,0.12943206777534222
4,11,102.156,102.387,0.2261247503817637
4,12,102.012,102.166,0.15096263184723008
4,13,102.24,102.299,0.05770735524257797
4,14,102.053,102.359,0.2998441986026843
4,15,101.913,106.8,4.795266550881635
4,16,102.106,102.179,0.07149432942237234
4,17,101.877,102.158,0.2758228059326501
4,18,101.929,102.18,0.2462498405753071
4,19,102.071,102.192,0.11854493440839721
4,20,102.072,102.175,0.10090916216003844
4,21,101.966,102.23,0.25890983268933765
4,22,102.096,102.076,-0.01958940604921861
4,23,102.108,102.079,-0.02840130058370605
4,24,101.885,102.118,0.22868920842124935
4,25,101.874,102.111,0.23264032039579186
4,26,102.066,102.107,0.04017008602276646
4,27,102.022,102.207,0.18133343788593445
4,28,102.058,102.075,0.01665719492837005
4,29,101.955,102.21,0.25011034279828886
4,30,102.625,102.149,-0.46382460414129023
8,1,102.208,102.414,0.20154978083907626
8,2,102.156,102.232,0.07439602177061885
8,3,102.219,102.283,0.06261066924936379
8,4,102.205,102.217,0.011741108556333306
8,5,102.126,102.273,0.14393983902237564
8,6,102.153,102.127,-0.02545201805136458
8,7,102.094,102.357,0.25760573589045904
8,8,102.198,102.145,-0.051860114679345266
8,9,102.181,102.848,0.6527632338693119
8,10,102.191,102.424,0.2280044230901
8,11,102.2,102.325,0.1223091976516634
8,12,102.178,102.102,-0.07438000352325688
8,13,102.137,102.243,0.10378217492191327
8,14,102.121,102.265,0.14100919497459433
8,15,102.372,102.275,-0.09475247137888701
8,16,102.268,102.255,-0.012711698674077159
8,17,102.156,102.253,0.09495281725987137
8,18,102.261,102.253,-0.007823119273227885
8,19,102.143,102.296,0.14979000029371156
8,20,102.262,102.191,-0.06942950460581443
8,21,102.139,102.267,0.1253194176563312
8,22,102.182,102.224,0.04110312970973517
8,23,102.276,102.349,0.07137549376198474
8,24,102.229,102.267,0.03717144841483014
8,25,102.2,102.318,0.11545988258316536
8,26,102.159,102.342,0.17913252870524643
8,27,102.098,102.4,0.2957942369096424
8,28,102.16,102.253,0.09103367267032451
8,29,102.13,102.337,0.20268285518457635
8,30,102.208,102.235,0.026416718847840703
